,loss,categorical_accuracy,recall,precision,f1_score,val_loss,val_categorical_accuracy,val_recall,val_precision,val_f1_score
0,0.9221827387809753,0.7138065099716187,0.7731418609619141,0.6434323191642761,0.71444171667099,3.000415086746216,0.21846483647823334,0.2055036574602127,0.21846483647823334,0.21178612112998962
1,0.6468669772148132,0.8184623718261719,0.8054357171058655,0.8049396276473999,0.8120903968811035,1.9870738983154297,0.2082662433385849,0.07927291095256805,0.19007264077663422,0.2094445377588272
2,0.5897097587585449,0.8323493599891663,0.810674250125885,0.829329788684845,0.825709879398346,2.188018798828125,0.256038635969162,0.2966422736644745,0.2730652987957001,0.25263434648513794
3,0.5584754347801208,0.8477123379707336,0.8129545450210571,0.841423749923706,0.8382372260093689,1.3560631275177002,0.6092324256896973,0.5617268085479736,0.6517281532287598,0.61246258020401
4,0.5299401879310608,0.857507050037384,0.8195488452911377,0.8515079617500305,0.8478735089302063,0.6132678985595703,0.8346752524375916,0.800555408000946,0.8303220868110657,0.8307532668113708
5,0.5116412043571472,0.8622031211853027,0.814803421497345,0.8700315952301025,0.8536554574966431,0.5218181014060974,0.8413848876953125,0.8298409581184387,0.8238095045089722,0.8429816365242004
6,0.4961153268814087,0.8667650818824768,0.8042647838592529,0.8776649236679077,0.8575099110603333,0.5821188688278198,0.8395061492919922,0.7932340502738953,0.8774085640907288,0.8497463464736938
7,0.48319700360298157,0.8708573579788208,0.8048810362815857,0.8827903270721436,0.8610433340072632,0.49349310994148254,0.884594738483429,0.7753092646598816,0.925000011920929,0.8801873326301575
8,0.47033947706222534,0.8762914538383484,0.8121533393859863,0.8815895318984985,0.8653475046157837,0.4509514272212982,0.8808373808860779,0.8255491256713867,0.9013230204582214,0.8822687268257141
9,0.46225109696388245,0.8803837299346924,0.7942191362380981,0.8904781937599182,0.8698445558547974,0.48624080419540405,0.8808373808860779,0.7697551250457764,0.8907391428947449,0.8726420998573303
10,0.4476378858089447,0.8832014203071594,0.7766547799110413,0.8964928388595581,0.8723499774932861,0.45690059661865234,0.8937197923660278,0.8194900155067444,0.8952013254165649,0.8859112858772278
11,0.4465045630931854,0.8806520700454712,0.7786269187927246,0.8989611268043518,0.8709366321563721,0.6273638010025024,0.8244766592979431,0.7200201749801636,0.8465420007705688,0.8276310563087463
12,0.4304746985435486,0.8855494260787964,0.7885492444038391,0.8996624946594238,0.8754978775978088,0.4721592664718628,0.8746645450592041,0.7679879069328308,0.8944427967071533,0.8765448331832886
13,0.4311235547065735,0.8850798606872559,0.78522127866745,0.9016985297203064,0.8749839663505554,0.6192222237586975,0.8521202206611633,0.6712951064109802,0.8995263576507568,0.8461037278175354
14,0.42190518975257874,0.8895746469497681,0.775976836681366,0.9042659997940063,0.8788384795188904,0.6460380554199219,0.8566827774047852,0.7164857387542725,0.9101988673210144,0.8585924506187439
15,0.41627565026283264,0.8911847472190857,0.7786269187927246,0.9051439762115479,0.8810226917266846,0.7211173176765442,0.8370907306671143,0.7142136096954346,0.8998091816902161,0.8463640213012695
16,0.4103340804576874,0.8906480669975281,0.7650684118270874,0.9109187126159668,0.8802518248558044,0.5535181760787964,0.8703703880310059,0.6892198920249939,0.9207419753074646,0.8630154728889465
17,0.4087683856487274,0.8897088170051575,0.7666091322898865,0.911348819732666,0.8807015419006348,0.5419756174087524,0.8612452745437622,0.7185054421424866,0.9110115170478821,0.8635358214378357
18,0.39569538831710815,0.8964846134185791,0.762356698513031,0.912645697593689,0.8867403864860535,0.5267180800437927,0.8711755275726318,0.7063872814178467,0.9022895693778992,0.8708208799362183
19,0.40514057874679565,0.8927277326583862,0.7699371576309204,0.9048308730125427,0.883335530757904,0.42571720480918884,0.8974772095680237,0.7642009854316711,0.9239926934242249,0.8918954730033875
20,0.3824184238910675,0.8977593183517456,0.7583507895469666,0.9160276651382446,0.8879609704017639,0.6998869776725769,0.84487384557724,0.6437768340110779,0.9026548862457275,0.8403798937797546
21,0.3842200040817261,0.8987656235694885,0.7794896960258484,0.914269208908081,0.8875755071640015,0.46391046047210693,0.8872785568237305,0.7624337077140808,0.9121111631393433,0.8796670436859131
22,0.3783339858055115,0.8998389840126038,0.7544681429862976,0.9196904897689819,0.8904663920402527,0.47371137142181396,0.8894256353378296,0.6498358845710754,0.9176470637321472,0.8760244846343994
23,0.3653351366519928,0.9062122702598572,0.7590287327766418,0.924555242061615,0.8970191478729248,0.5265544652938843,0.8792270421981812,0.6793739199638367,0.9018096327781677,0.8723819255828857
24,0.3676591217517853,0.9035958647727966,0.7457783818244934,0.9280619621276855,0.8942567110061646,0.630689263343811,0.8590982556343079,0.6925019025802612,0.890584409236908,0.8572915196418762
25,0.36534005403518677,0.9036629796028137,0.7245778441429138,0.922696590423584,0.8955415487289429,0.4737602472305298,0.8867418169975281,0.623075008392334,0.9313207268714905,0.8833094835281372
26,0.36009681224823,0.9056755900382996,0.7331443428993225,0.9231724143028259,0.8949633836746216,0.6312275528907776,0.8510466814041138,0.5960615873336792,0.9112311601638794,0.8533888459205627
27,0.3600328266620636,0.9061451554298401,0.7218661308288574,0.9300460815429688,0.895605742931366,0.5376607775688171,0.8832527995109558,0.6051502227783203,0.9287098050117493,0.878105878829956
28,0.35112112760543823,0.9078894257545471,0.7148403525352478,0.9338217377662659,0.898368239402771,0.4903263747692108,0.8982823491096497,0.6793739199638367,0.925696611404419,0.8895537853240967
29,0.34188446402549744,0.9121829867362976,0.7274744510650635,0.9350443482398987,0.902094304561615,0.531339704990387,0.8722490668296814,0.5793991684913635,0.9227985739707947,0.8648367524147034
30,0.35068684816360474,0.9067489504814148,0.7237150073051453,0.9396654963493347,0.8978543281555176,0.4684092104434967,0.9023081064224243,0.6271143555641174,0.9539170265197754,0.8965786099433899
