,loss,acc,recall,precision,f1_score,val_loss,val_acc,val_recall,val_precision,val_f1_score
0,0.23376691341400146,0.7303770184516907,0.6625785827636719,0.7790015339851379,0.7290248274803162,0.5427663326263428,0.2973698377609253,0.4231254756450653,0.2249060720205307,0.3228827714920044
1,0.17183125019073486,0.8091372847557068,0.7600147724151611,0.8465710282325745,0.8021970987319946,0.5339914560317993,0.19028449058532715,0.0005049229948781431,0.4000000059604645,0.1849876493215561
2,0.1617216169834137,0.8224875926971436,0.7772094011306763,0.8537096977233887,0.8136965036392212,0.5698849558830261,0.25120773911476135,0.11133552342653275,0.2661436200141907,0.27058669924736023
3,0.1518263965845108,0.8326848149299622,0.7955750226974487,0.8623246550559998,0.8242965340614319,0.4489714205265045,0.5746108293533325,0.5501136183738708,0.6017674803733826,0.5695330500602722
4,0.1477527618408203,0.8378505110740662,0.7979169487953186,0.8653255105018616,0.8293074369430542,0.2754848897457123,0.749597430229187,0.7286038994789124,0.7484439611434937,0.740210771560669
5,0.14271356165409088,0.8459680676460266,0.8088253140449524,0.8696573972702026,0.8366311192512512,0.3408131003379822,0.6902844905853271,0.679878830909729,0.6987545490264893,0.683491587638855
6,0.1393560767173767,0.8493894934654236,0.8118451833724976,0.8730200529098511,0.8386869430541992,0.20888930559158325,0.772946834564209,0.706892192363739,0.8335814476013184,0.7698712944984436
7,0.13446013629436493,0.8496578335762024,0.8185011744499207,0.8760554194450378,0.841770589351654,0.14127309620380402,0.855340838432312,0.8283261656761169,0.8829386234283447,0.8533888459205627
8,0.1314290463924408,0.8575741052627563,0.8247257471084595,0.8806264996528625,0.8481947779655457,0.14199234545230865,0.843263566493988,0.8116637468338013,0.8717461824417114,0.8411603569984436
9,0.13056853413581848,0.8551589846611023,0.8255269527435303,0.8762920498847961,0.8454323410987854,0.2708156704902649,0.6902844905853271,0.6268619298934937,0.7396485209465027,0.6962404251098633
10,0.12845195829868317,0.8586475253105164,0.8273141980171204,0.8802623152732849,0.8489014506340027,0.17038412392139435,0.8244766592979431,0.7995455861091614,0.8452094793319702,0.8187849521636963
11,0.12634313106536865,0.8567019701004028,0.8302107453346252,0.8795377612113953,0.8478093147277832,0.22281694412231445,0.7654321193695068,0.7460237145423889,0.8001624941825867,0.767269492149353
12,0.12500035762786865,0.8620689511299133,0.8341550827026367,0.8833126425743103,0.8523063063621521,0.18398348987102509,0.8099839091300964,0.7538500428199768,0.8473325967788696,0.8013529181480408
13,0.12141618132591248,0.8642157316207886,0.835634171962738,0.8890564441680908,0.8554542064666748,0.16810573637485504,0.8352120518684387,0.7798535823822021,0.864539623260498,0.826590359210968
14,0.12141384929418564,0.8669663071632385,0.8390854001045227,0.8878383040428162,0.8571887612342834,0.5292815566062927,0.4691357910633087,0.42438778281211853,0.4994058310985565,0.4672824442386627
15,0.12050939351320267,0.8681067824363708,0.8384075164794922,0.8894410133361816,0.8580239415168762,0.22523371875286102,0.7981749773025513,0.7513254284858704,0.8292003273963928,0.794067919254303
16,0.11727552115917206,0.8721320033073425,0.8464193344116211,0.8910659551620483,0.8624566197395325,0.1624547839164734,0.8207192420959473,0.8187326192855835,0.8399378657341003,0.8302328586578369
17,0.11720822751522064,0.8707903027534485,0.8438308835029602,0.8915804028511047,0.8617500066757202,0.19254440069198608,0.7968330383300781,0.7854077219963074,0.7924095988273621,0.7930272221565247
18,0.1153784841299057,0.8717294931411743,0.8461728096008301,0.8941130638122559,0.8625851273536682,0.17220932245254517,0.7949543595314026,0.769250214099884,0.8380088210105896,0.8031741976737976
19,0.11162305623292923,0.8772306442260742,0.8517194390296936,0.8923613429069519,0.865925669670105,0.15426991879940033,0.8505099415779114,0.8240343332290649,0.8630354404449463,0.8411603569984436
20,0.11168563365936279,0.8746813535690308,0.8499321937561035,0.8921594023704529,0.864255428314209,0.16770870983600616,0.8073000311851501,0.7965160608291626,0.8241901993751526,0.8141016960144043
21,0.11190513521432877,0.8758888840675354,0.8508566617965698,0.8945765495300293,0.8656045198440552,0.227887362241745,0.8091787695884705,0.7833880186080933,0.7966623902320862,0.8042148947715759
