,loss,acc,recall_5,precision_5,f1_score,val_loss,val_acc,val_recall_5,val_precision_5,val_f1_score
0,0.09077633917331696,0.8986313939094543,0.8849377632141113,0.9121458530426025,0.8876397013664246,0.28756576776504517,0.7318840622901917,0.7541025280952454,0.7285366058349609,0.7404709458351135
1,0.09019578248262405,0.898564338684082,0.884013295173645,0.9126423597335815,0.8872542381286621,0.22513099014759064,0.7863661050796509,0.7758141756057739,0.7969398498535156,0.7802784442901611
2,0.08694843202829361,0.9009124040603638,0.8893750905990601,0.9154402613639832,0.8900166749954224,0.12704592943191528,0.8703703880310059,0.8563494086265564,0.8731016516685486,0.8611941933631897
3,0.08692247420549393,0.9029250144958496,0.8883273601531982,0.9148260951042175,0.8916870355606079,0.25535160303115845,0.7686527371406555,0.7303711175918579,0.7795742154121399,0.7584233283996582
4,0.08830597251653671,0.899570643901825,0.888388991355896,0.9155868887901306,0.8890531063079834,0.7454707622528076,0.5394524931907654,0.4877556264400482,0.5702479481697083,0.5411733984947205
5,0.0854870155453682,0.9027237296104431,0.8905460238456726,0.9185684323310852,0.8923936486244202,0.24264314770698547,0.772141695022583,0.7397121787071228,0.7880581021308899,0.7631065845489502
6,0.08330515027046204,0.903730034828186,0.8933193683624268,0.9201421737670898,0.8941924571990967,0.31249451637268066,0.7130971550941467,0.6637212634086609,0.7357962727546692,0.7063874006271362
7,0.08545751124620438,0.8991010189056396,0.8896832466125488,0.9154670834541321,0.8902093768119812,0.3196023106575012,0.7410091161727905,0.7000757455825806,0.7666574716567993,0.740210771560669
8,0.08367554843425751,0.9048705101013184,0.8907309174537659,0.9209251999855042,0.8939997553825378,0.19410817325115204,0.811862587928772,0.796263575553894,0.814987063407898,0.8008325099945068
9,0.0831340029835701,0.9016503691673279,0.89350426197052,0.918059766292572,0.8929718136787415,0.22418291866779327,0.8038110733032227,0.7808634042739868,0.8219505548477173,0.800572395324707
