,loss,acc,recall,precision,f1_score,val_loss,val_acc,val_recall,val_precision,val_f1_score
0,0.23476244509220123,0.723601222038269,0.6464316248893738,0.7689882516860962,0.7212514281272888,1.2632696628570557,0.10789050161838531,0.38929563760757446,0.1384449601173401,0.10459215939044952
1,0.1577925980091095,0.8270494937896729,0.780599057674408,0.8597610592842102,0.8194141387939453,0.6363773345947266,0.18491679430007935,0.2582681179046631,0.22370435297489166,0.19123195111751556
2,0.1433619260787964,0.8463035225868225,0.8082090616226196,0.8716517090797424,0.837466299533844,0.6639866232872009,0.29066023230552673,0.2794748842716217,0.3036203980445862,0.28463640809059143
3,0.1320762038230896,0.8525425791740417,0.819425642490387,0.8773342370986938,0.8431195616722107,0.7044059038162231,0.5139560103416443,0.5021459460258484,0.5396093130111694,0.5115129351615906
4,0.12732014060020447,0.859184205532074,0.8306421637535095,0.8820103406906128,0.8494796752929688,0.1490219384431839,0.8475577235221863,0.8025751113891602,0.8772075176239014,0.8440223932266235
5,0.12287891656160355,0.8613309860229492,0.8353260159492493,0.8832268714904785,0.8535911440849304,0.13126535713672638,0.8706387281417847,0.858116626739502,0.865766704082489,0.8630154728889465
6,0.11658925563097,0.8729370832443237,0.8443239331245422,0.8894948959350586,0.8641912341117859,0.13366536796092987,0.8735910058021545,0.8359000086784363,0.8938984870910645,0.8663977980613708
7,0.11340638250112534,0.8758218288421631,0.8493159413337708,0.8930144906044006,0.8639984726905823,0.10882507264614105,0.8945249319076538,0.8621560335159302,0.9116390943527222,0.8869519233703613
8,0.11022777855396271,0.8754193186759949,0.8566498160362244,0.8956762552261353,0.8668251633644104,0.119235098361969,0.8821792602539062,0.8606412410736084,0.8968692421913147,0.8791466355323792
9,0.1079636961221695,0.8781698942184448,0.8578824400901794,0.8982963562011719,0.8686881065368652,0.13360871374607086,0.8738593459129333,0.8404443264007568,0.8965795636177063,0.8682190775871277
10,0.10311812907457352,0.8850127458572388,0.863675594329834,0.8996597528457642,0.8738275766372681,0.11577960103750229,0.8888888955116272,0.8672052621841431,0.8968668580055237,0.8812280297279358
11,0.10016471147537231,0.887159526348114,0.8692222237586975,0.902771532535553,0.8785815238952637,0.13504710793495178,0.8574879169464111,0.8533198833465576,0.8827369809150696,0.8619747757911682
12,0.09792939573526382,0.8887696266174316,0.8723037242889404,0.9034852385520935,0.8787100315093994,0.13285604119300842,0.8668813705444336,0.8316081762313843,0.8958389759063721,0.8661375641822815
13,0.09692862629890442,0.889977216720581,0.8754467964172363,0.9060466885566711,0.8806372880935669,0.12253351509571075,0.8805689811706543,0.8447361588478088,0.9031038880348206,0.8757642507553101
14,0.09521423280239105,0.8911847472190857,0.8782817721366882,0.9080540537834167,0.8818579316139221,0.17120535671710968,0.8400429487228394,0.8179752826690674,0.8644610643386841,0.8388187885284424
15,0.09330659359693527,0.8957467079162598,0.8803155422210693,0.9113181233406067,0.8851342797279358,0.1892232894897461,0.8521202206611633,0.8003029823303223,0.8778731822967529,0.8440223932266235
16,0.08981484174728394,0.8980276584625244,0.8849993944168091,0.9144167304039001,0.8885391354560852,0.11719444394111633,0.8853998780250549,0.8664478659629822,0.905063271522522,0.8822687268257141
17,0.09154098480939865,0.8976922035217285,0.8819795250892639,0.9128659963607788,0.8863548636436462,0.1565059870481491,0.8612452745437622,0.8459984660148621,0.8654442429542542,0.8562507629394531
18,0.08833026885986328,0.8982288837432861,0.8878343105316162,0.9118875861167908,0.887190043926239,0.15715385973453522,0.8652710914611816,0.8164604902267456,0.895348846912384,0.8624951243400574
19,0.08528877049684525,0.9017174243927002,0.89350426197052,0.9152777791023254,0.8926506638526917,0.12535616755485535,0.8851315379142761,0.8861398696899414,0.8586105704307556,0.8822687268257141
