,loss,acc,recall,precision,f1_score,val_loss,val_acc,val_recall,val_precision,val_f1_score,lr
0,0.23596584796905518,0.5475515723228455,0.6153596639633179,0.7673948407173157,0.6277571320533752,3.5164318084716797,0.29789531230926514,0.39583998918533325,0.3337830603122711,0.3621724247932434,0.0005000000237487257
1,0.18076451122760773,0.5968568921089172,0.716081440448761,0.8304335474967957,0.6818131804466248,1.8771905899047852,0.29789531230926514,0.6435199975967407,0.2605935037136078,0.3621724247932434,0.0005000000237487257
2,0.1688152551651001,0.6082557439804077,0.736598789691925,0.8382244110107422,0.6929336786270142,0.5696816444396973,0.14570966362953186,0.133760005235672,0.17939914762973785,0.17449861764907837,0.0005000000237487257
3,0.15868790447711945,0.6154727935791016,0.7567107081413269,0.8496630787849426,0.6997827291488647,0.3691333830356598,0.5234754681587219,0.417279988527298,0.7090809941291809,0.5902503132820129,0.0005000000237487257
4,0.15068230032920837,0.6215432286262512,0.767415463924408,0.8552964329719543,0.7072209715843201,0.1604853868484497,0.6538046598434448,0.7548800110816956,0.8568834066390991,0.735763430595398,0.0005000000237487257
5,0.14763882756233215,0.6215432286262512,0.7722812294960022,0.851712703704834,0.7083256840705872,0.19229429960250854,0.6211549043655396,0.7043200135231018,0.8540939092636108,0.6944810748100281,0.0005000000237487257
6,0.14577634632587433,0.62795090675354,0.7719568610191345,0.8551792502403259,0.7111241817474365,0.2718508243560791,0.5812196731567383,0.58815997838974,0.7891799211502075,0.6523203253746033,0.0005000000237487257
7,0.1399906426668167,0.6309860944747925,0.7910956144332886,0.8624348044395447,0.7173104882240295,0.2408110648393631,0.6287102103233337,0.6361600160598755,0.8409475684165955,0.7026789784431458,0.0005000000237487257
8,0.14004789292812347,0.6332119107246399,0.7872030138969421,0.8620781302452087,0.7162057757377625,0.25084590911865234,0.5809497833251953,0.5865600109100342,0.7973031997680664,0.657590389251709,0.0005000000237487257
9,0.13777892291545868,0.6301092505455017,0.7908523082733154,0.8615602254867554,0.7176051139831543,0.22389520704746246,0.6233135461807251,0.6480000019073486,0.8758650422096252,0.7097058296203613,0.0005000000237487257
10,0.13585388660430908,0.6322676539421082,0.7943394780158997,0.8655120730400085,0.7178996205329895,0.32405030727386475,0.5232056379318237,0.44863998889923096,0.7586579918861389,0.58205246925354,0.0005000000237487257
11,0.1328185498714447,0.6330770254135132,0.7951504588127136,0.8681600689888,0.720771849155426,0.2961979806423187,0.505936324596405,0.38944000005722046,0.8457261919975281,0.5841018557548523,0.0005000000237487257
