,loss,acc,recall,precision,f1_score,val_loss,val_acc,val_recall,val_precision,val_f1_score,lr
0,0.20128247141838074,0.5822878479957581,0.68161541223526,0.799562394618988,0.6608977317810059,0.14473403990268707,0.6724231243133545,0.8355200290679932,0.8213274478912354,0.742497444152832,0.0005000000237487257
1,0.14823703467845917,0.628018319606781,0.7774714231491089,0.8484070897102356,0.7106823325157166,0.13697651028633118,0.6956287026405334,0.839680016040802,0.8829071521759033,0.7612355351448059,0.0005000000237487257
2,0.13651756942272186,0.6344934701919556,0.7965290546417236,0.8599947690963745,0.7190043330192566,0.09695745259523392,0.7064220309257507,0.8880000114440918,0.8960283994674683,0.789635419845581,0.0005000000237487257
3,0.12695570290088654,0.642250120639801,0.8177763223648071,0.8626914024353027,0.7267371416091919,0.11585792154073715,0.6915812492370605,0.8649600148200989,0.8888523578643799,0.772946834564209,0.0005000000237487257
4,0.120535708963871,0.6447457075119019,0.8254805207252502,0.8741090893745422,0.7333652973175049,0.09795725345611572,0.7029141783714294,0.8886399865150452,0.903383195400238,0.7928560972213745,0.0005000000237487257
5,0.1158476248383522,0.6482530832290649,0.8344821929931641,0.8733661770820618,0.7355746030807495,0.10084682703018188,0.7023745179176331,0.8643199801445007,0.9075940847396851,0.7872931957244873,0.0005000000237487257
6,0.11076320707798004,0.6587076783180237,0.8414564728736877,0.878057062625885,0.7392569184303284,0.12055801600217819,0.7123583555221558,0.8611199855804443,0.8878257870674133,0.78348708152771,0.0005000000237487257
7,0.10900206118822098,0.6487252116203308,0.8448625206947327,0.8781927227973938,0.7389624118804932,0.11794665455818176,0.6913113594055176,0.8707200288772583,0.8707200288772583,0.7767530083656311,0.0005000000237487257
8,0.10578525811433792,0.6537164449691772,0.8511069416999817,0.88193279504776,0.7417608499526978,0.11129595339298248,0.6907716989517212,0.8716800212860107,0.8708440065383911,0.7755818367004395,0.0005000000237487257
9,0.10223060101270676,0.6570888757705688,0.8558105826377869,0.8854673504829407,0.745369553565979,0.11169926077127457,0.7242310047149658,0.8748800158500671,0.8917155861854553,0.7966622710227966,0.0005000000237487257
10,0.10058370977640152,0.6589774489402771,0.8577568531036377,0.8918212652206421,0.7465478181838989,0.10172520577907562,0.7091203331947327,0.876800000667572,0.9222484230995178,0.7960767149925232,0.0005000000237487257
11,0.0971502810716629,0.6634965538978577,0.8643257021903992,0.8940525054931641,0.7504511475563049,0.1239040195941925,0.705342710018158,0.8809599876403809,0.873968243598938,0.7864148616790771,0.0005000000237487257
12,0.09579724818468094,0.6694995164871216,0.8659476041793823,0.8916910290718079,0.7517767548561096,0.09297492355108261,0.7153264880180359,0.8937600255012512,0.9024232625961304,0.7928560972213745,0.0005000000237487257
13,0.09279795736074448,0.6637663841247559,0.8710566759109497,0.8959792852401733,0.7519976496696472,0.10226468741893768,0.6985968947410583,0.8918399810791016,0.8850428462028503,0.7880561947822571,0.0005000000237487257
14,0.09356394410133362,0.6632941961288452,0.8699213266372681,0.8916133046150208,0.7517030835151672,0.11777794361114502,0.697787344455719,0.8598399758338928,0.8989628553390503,0.7829015254974365,0.0005000000237487257
15,0.08941874653100967,0.6711857318878174,0.8751925826072693,0.9014366865158081,0.7539124488830566,0.10838735103607178,0.7015650272369385,0.8860800266265869,0.8880692720413208,0.7829015254974365,0.0005000000237487257
16,0.08988669514656067,0.6700391173362732,0.8743816614151001,0.8959614634513855,0.7570056319236755,0.09358462691307068,0.7048030495643616,0.9071999788284302,0.892632246017456,0.7916849851608276,0.0005000000237487257
17,0.08756405115127563,0.6694321036338806,0.877787709236145,0.8996758460998535,0.7560481429100037,0.0986897200345993,0.7150566577911377,0.8835200071334839,0.907925009727478,0.7992972731590271,0.0005000000237487257
18,0.0859435573220253,0.6743558645248413,0.8834644556045532,0.9053436517715454,0.7604669332504272,0.12939605116844177,0.7177550196647644,0.8515200018882751,0.9265320301055908,0.7987117171287537,0.0005000000237487257
19,0.08262278884649277,0.672872006893158,0.887438178062439,0.9038572907447815,0.7588467001914978,0.09480874240398407,0.7166756391525269,0.8934400081634521,0.9133136868476868,0.7960767149925232,0.0005000000237487257
